Date,ML Strategy,100% SPY,60/40
2024-06-12,0.0,0.0,0.0
2024-06-13,0.0024733601195532804,0.0020134619313800783,0.0038530546840728876
2024-06-14,0.0007806524287046867,0.0006083880074114756,0.0012974456925843203
2024-06-17,0.006697926470335858,0.00795891438041485,0.0029149627400988807
2024-06-18,0.0027219669973098217,0.0025406234208713574,0.0032659977266252136
2024-06-20,-0.0026985382905991284,-0.002716408066422371,-0.0026449289631294004
2024-06-21,-0.0011855359960830313,-0.0013408161276368125,-0.0007196956014216882
2024-06-24,-0.0028405249832228587,-0.003250334541227695,-0.0016110963092083486
2024-06-25,0.0035503381224138318,0.0038506660254042924,0.002649354413442451
2024-06-26,0.0005200329376640055,0.0012479464208918767,-0.001663707512019608
2024-06-27,0.0016424551240577401,0.0015765592818417495,0.0018401426507057119
2024-06-28,-0.004072719922351109,-0.003935194137760778,-0.004485297276122102
2024-07-01,0.0011080990624583122,0.0020583366689184146,-0.0017426137569219958
2024-07-02,0.006434347349244529,0.0067296445915709935,0.005548455622265136
2024-07-03,0.0046828620986402395,0.004462590190542848,0.005343677822932413
2024-07-05,0.00574522074929984,0.005766543297254234,0.005681253105436657
2024-07-08,0.0010703856391822918,0.0011539348922100512,0.000819737880099014
2024-07-09,0.0007371426119816893,0.0009724054218764877,3.135418229729405e-05
2024-07-10,0.009001550637909129,0.009895414778973155,0.006319958214717048
2024-07-11,-0.007123243230513476,-0.008622821984271,-0.002624506969240903
2024-07-12,0.005887979141862942,0.006307676998422274,0.004628885572184948
2024-07-15,0.0021591044854424534,0.0027500660630705998,0.00038621975255801453
2024-07-16,0.00578093120513874,0.005930200280948483,0.005333123977709508
2024-07-17,-0.012534907031390041,-0.014021165651191936,-0.008076131171984358
2024-07-18,-0.007200153687171818,-0.007684861962399481,-0.005746028861488828
2024-07-19,-0.006292833325633906,-0.006640735874323123,-0.005249125679566258
2024-07-22,0.009183871300614977,0.010310034623385755,0.0058053813323026395
2024-07-23,-0.0013376994940625163,-0.0015686194535257103,-0.0006449396156729347
2024-07-24,-0.02061840603330457,-0.022662596071628127,-0.014485835918333901
2024-07-25,-0.004466626348353653,-0.005210211292997813,-0.0022358715144211727
2024-07-26,0.008623409532710591,0.011199682146224132,0.008623409532710591
2024-07-29,0.0010261251939763128,0.0005876627131091716,0.0010261251939763128
2024-07-30,-0.002199123830890115,-0.005066469677220575,-0.002199123830890115
2024-07-31,0.01268871922067567,0.01625469305456595,0.01268871922067567
2024-08-01,-0.006788452708752746,-0.01416082217664505,-0.006788452708752746
2024-08-02,-0.004975085108834177,-0.01861860871987664,-0.004975085108834177
2024-08-05,-0.017064641803124326,-0.029123572531683073,-0.017064641803124326
2024-08-06,0.0019729281446387854,0.009219701185414264,0.0019729281446387854
2024-08-07,-0.0054554063669494555,-0.006684299276353611,-0.0054554063669494555
