Date,r1,r5,r21,vol_21,ma50_dist,ma200_dist,spy_ief_spread
2022-10-18,0.01174954169240583,0.03742948556332926,-0.044833436127737825,0.28703145781152317,-0.047951864380654546,-0.09727379625507208,0.009206550096946486
2022-10-19,-0.007086463482365635,0.03348666270597089,-0.04058946524431395,0.28560885298110195,-0.05269772420758408,-0.10253860582789327,0.0033765547247561756
2022-10-20,-0.008385327278408017,-0.0015302090135315138,-0.03174426240979333,0.28105167679839493,-0.058081184515486065,-0.10890658767477791,-0.0009089848016918811
2022-10-21,0.024301530965640916,0.04658451617367931,0.00018724041379369893,0.29333097603660413,-0.032998497645045755,-0.0862631013524942,0.022041751567570378
2022-10-24,0.012236345703628526,0.03284973205796948,0.029677947026709894,0.28941921596085013,-0.018809290747616232,-0.07413621831382161,0.01352463201985632
2022-10-25,0.015968512829543702,0.03715669047898751,0.05657282932255714,0.2903980292339122,-0.0009582034301380828,-0.05847912522217827,0.0034980355313005695
2022-10-26,-0.0075338008533214484,0.03668942023830235,0.05129626967338252,0.29205907391331876,-0.0061155943943103155,-0.06467825681555397,-0.012630493942687782
2022-10-27,-0.005340224548903705,0.03987294088403015,0.025504052848200454,0.28637204738876454,-0.009106883885150954,-0.06871094550462407,-0.012418045417449064
2022-10-28,0.023790638753042437,0.03935428209896652,0.07230075129274738,0.28446415780775974,0.016434883363139974,-0.045659049955154886,0.028930590650648402
2022-10-31,-0.007223289642871555,0.019373320724367815,0.08127548765801551,0.2789276030112657,0.010899681024075182,-0.05170337406749127,-0.0026893789876820673
2022-11-01,-0.004375813048261734,-0.0010391849449261636,0.04885302855997509,0.2677608121938668,0.007908128258855944,-0.05498417948836271,-0.004195474684678291
2022-11-02,-0.025096105579946237,-0.018716415926735896,-0.008201645088045773,0.26277433394410027,-0.015539176504714028,-0.07783470187737254,-0.023397183564996316
2022-11-03,-0.01029704031662515,-0.023606572402536607,-0.016123477468641845,0.26500437846855174,-0.02357519845319398,-0.08648116858211759,-0.005936681561963697
2022-11-04,0.014393365591761187,-0.03256879124367462,0.008440642760129347,0.267450654030796,-0.0073557703227087245,-0.07258714168271252,0.0165293344449291
2022-11-07,0.009565550763425579,-0.01620856844791796,0.04730029635541122,0.24805606266691657,0.0033939594793262863,-0.06310391744925573,0.013098601073522342
2022-11-08,0.005395340294829909,-0.006553542925942568,0.061052101362627065,0.2455619994302413,0.009820077672362149,-0.057435385655435114,-0.001265492395247536
2022-11-09,-0.020602096310596507,-0.001974058104672771,0.04581543912677111,0.25705680135174086,-0.009808992595738258,-0.0762231807144901,-0.024016617595148504
2022-11-10,0.05495408352589681,0.0638258000199261,0.10693842692400102,0.3140681127815149,0.04454374951827029,-0.02505188849569035,0.032514438078326435
2022-11-11,0.009678467218459774,0.05888113978837595,0.0889142156582936,0.30495210825386976,0.05444617664540485,-0.015277848701810207,0.01175871417304819
2022-11-14,-0.008506716787306523,0.039926072187061123,0.10482882807040572,0.29277347109696317,0.04522824469086671,-0.023150458486168667,-0.006109246158762738
2022-11-15,0.008529092028568774,0.0431674539610416,0.0863364127720121,0.28330833152110757,0.05362308175103192,-0.014255002140047624,0.001110747206995999
2022-11-16,-0.007628681222657141,0.056985580725949836,0.06552961395475498,0.28466585595197647,0.045624178310452346,-0.02114154925242776,-0.014992222802383326
2022-11-17,-0.0030598647126868217,-0.001140083439659767,0.06985069537303645,0.28317428642376385,0.042672952447855066,-0.023437216550834354,0.003735200034321262
2022-11-18,0.004540460587441508,-0.006223037113896268,0.08379629694281676,0.2799350298302998,0.04790084837640027,-0.01845053970186925,0.008064651163676606
2022-11-21,-0.003636099491464706,-0.001341201456918073,0.05423595800021719,0.2709732499507105,0.044903363932047254,-0.02142564636961339,-0.0030118276757027385
2022-11-22,0.01345686113048239,0.003538340451899158,0.055507114934805424,0.2715493981523708,0.058493132496284905,-0.007737377627510792,0.007731459680916153
2022-11-23,0.0063015760400062515,0.01762535303572199,0.045463968486728845,0.2676403077062675,0.06463159499114646,-0.000947143491547868,0.0009200702178564502
2022-11-25,-0.00022365261977086437,0.020520412859455384,0.05316447918325928,0.26546143751046575,0.06361651970000087,-0.0005506048746537613,8.528176437183621e-05
2022-11-28,-0.01595700660168564,-0.00030312237792906593,0.041923230650665166,0.27193183016170375,0.04607193915899314,-0.01590884722003333,-0.01636890025227089
2022-11-29,-0.0017174624444049602,0.0016219327793851601,0.0159633495955116,0.26040153016762413,0.04390685485712924,-0.01710805793893878,0.0025026872979804216
2022-11-30,0.031500580640803744,0.01945494166572037,0.05559162909911963,0.2790974349781154,0.07545035767653087,0.014185464795346318,0.022507344559971942
2022-12-01,-0.0007359942246983886,0.012325383335993756,0.059450677856617506,0.2782141100072067,0.0729611329261761,0.013862936096057725,-0.011658295417014464
2022-12-02,-0.0011534997883475562,0.01138386487154941,0.08546966299017522,0.2595993476091768,0.06988115030823522,0.013129378282745798,-0.0031840783388308314
2022-12-05,-0.017989324349670266,0.00929508075094354,0.07703304988795168,0.26623420735593145,0.04888955821996075,-0.004693841197871936,-0.007855800298451676
2022-12-06,-0.014414821108928555,-0.0035423486906390744,0.04644593227023641,0.27028873404396686,0.032170394832976026,-0.01860796451961705,-0.020557318486510212
2022-12-07,-0.0017010238941016498,-0.035616002836331484,0.03476777901701489,0.26928863049616053,0.028808696540415516,-0.019892748736595463,-0.010451603828647404
2022-12-08,0.007833905498627391,-0.027345241453246905,0.03727758645175183,0.2698349840215972,0.0354750077905167,-0.011957528316453591,0.013482772043362345
2022-12-09,-0.00747045318372197,-0.03349655176792188,0.05118527303907161,0.259693394142746,0.02610438150184556,-0.018970275597280557,-6.53103196327498e-05
2022-12-12,0.014417332815729988,-0.0016016379216013954,0.010793339372190403,0.18325137295860364,0.03863422304241109,-0.004406862192205342,0.01584803744644625
2022-12-13,0.007569920557884302,0.02066891823221484,0.00868246448531984,0.1820732613908083,0.044573394672605696,0.0035011131851331516,-0.0014360268692810152
2022-12-14,-0.006393691236380894,0.015871097324342998,0.010832122840363834,0.18090340178420294,0.036740022434982186,-0.0025955160520272093,-0.009132419413083515
2022-12-15,-0.02446161450568507,-0.016681970365128418,-0.022233919759306442,0.19792334440476503,0.010721694615155977,-0.02646792507673767,-0.026407703950834138
2022-12-16,-0.01180624478431469,-0.02097752213714177,-0.026349999971772453,0.20020313368211565,-0.0018237625845889407,-0.03741219468814588,-0.009277218252316644
2022-12-19,-0.008479504819250305,-0.04307544770629601,-0.03164302851293732,0.20171372095494108,-0.01126056826988845,-0.04503181229091342,-0.00036704712279811424
2022-12-20,0.0013684036760770457,-0.048965246165523,-0.03470082811841779,0.2008234313390912,-0.011048245946668665,-0.04333805208149991,0.008627248563960022
2022-12-21,0.014952448297806287,-0.028533692563097457,-0.016691835843299918,0.20862582518774672,0.0021698088110765268,-0.028748243194468424,0.01371686197916433
2022-12-22,-0.014266104213793263,-0.018380740221114245,-0.04359008795760466,0.20698749887273288,-0.013447616119821195,-0.04212407447017349,-0.013957763331168827
2022-12-23,0.005752237995990894,-0.0009390747798243559,-0.04411219024072521,0.20671714959932225,-0.008728933600362618,-0.036180353733562896,0.010279456860822545
2022-12-27,-0.00394347685931995,0.0036314492915379137,-0.04766872031302516,0.20670116293610108,-0.0139350054980972,-0.03959480232103408,0.004428568045372172
2022-12-28,-0.012427810066590217,-0.010195943246970818,-0.04425325546536907,0.20409589848890766,-0.026769196682078097,-0.051128133422889036,-0.01003020304072988
2022-12-29,0.018000023263031295,-0.007223880793308379,-0.02537591156087271,0.2156337911123289,-0.009967610394716227,-0.03361110171567813,0.013088971326749466
2022-12-30,-0.0026339896187045353,0.004491335286046505,-0.05762831650161171,0.18001821742439483,-0.013370882508052235,-0.035594657608393906,0.0015253794257721331
2023-01-03,-0.004209757162983441,-0.005458170607462787,-0.060904303437302576,0.17992800453867228,-0.01838945236236255,-0.039009838638600226,-0.012040727097475279
2023-01-04,0.007720073575164799,0.006187643176025048,-0.05256154550899017,0.18361765713324876,-0.011381185807798438,-0.030918148950861167,5.4432772496948445e-05
2023-01-05,-0.01141342577575355,0.007221148320535553,-0.046217155029084855,0.17795571104155197,-0.022777586296573747,-0.04126116804022751,-0.009974282114630695
2023-01-06,0.02293214924327991,0.012101051542506402,-0.010075276684635148,0.1920970174805271,-0.0006210539030885302,-0.018584415402823753,0.010062667438053952
2023-01-09,-0.0005667524894201748,0.014198829941367563,-0.008950520140434626,0.19204132289039633,-0.001577554639284349,-0.018517489746757505,-0.003107600135301425
2023-01-10,0.007012791821432662,0.025628843572076843,-0.00975795902322052,0.1916205750528544,0.004785985422260994,-0.010957613579134306,0.01329880161178687
2023-01-11,0.012647874110394142,0.030644218870070405,0.01031400109591929,0.1949090805006712,0.017061200426897162,0.002202963114151271,0.006219715879765664
2023-01-12,0.0036407614053926007,0.04633885947371352,-0.0004189789384938525,0.18873281109248244,0.020107478935837284,0.006528442966694561,-0.005280059835067519
2023-01-13,0.003879398973475112,0.026850144604508852,-0.0040802388255997135,0.187306982101687,0.02323723567990097,0.011165067379635091,0.009205038343402472
2023-01-17,-0.0018317834383132503,0.02555041076431941,0.0004922906407285321,0.18604670965265893,0.020073499713246252,0.010017735905976983,0.0012995776879244358
2023-01-18,-0.015788089555204943,0.002329798820250195,0.009387681098622425,0.17363777150928264,0.002827878131661668,-0.005242475463084933,-0.029367366300167008
2023-01-19,-0.007279846103967369,-0.017394873797024868,0.01401115806715092,0.17027039442364275,-0.005186595254470087,-0.011750489454581741,-0.005380416721490144
2023-01-20,0.018629237789514086,-0.00272054579505443,0.04173480838004395,0.17756078016630852,0.012430334563815497,0.007364582971972631,0.025240652706228994
2023-01-23,0.0119984211358648,0.005345098344137211,0.05279333505304118,0.18086565160623652,0.023511192218668913,0.020029904142327724,0.015225199090517783
2023-01-24,-0.0010732731606191148,0.006109062350474925,0.03617012007470155,0.17541728493736444,0.020963499434194358,0.019461480460700016,-0.006839607475173759
