Date,IEF,SPY
2022-01-03,100.59114074707031,451.87518310546875
2022-01-04,100.53814697265625,451.72381591796875
2022-01-05,100.11434173583984,443.0496826171875
2022-01-06,99.86714935302734,442.633544921875
2022-01-07,99.54045867919922,440.883544921875
2022-01-10,99.51398468017578,440.3349609375
2022-01-11,99.75239562988281,444.34564208984375
2022-01-12,99.7700424194336,445.5468444824219
2022-01-13,100.08788299560547,439.407958984375
2022-01-14,99.3991928100586,439.587646484375
2022-01-18,98.64872741699219,431.8027038574219
2022-01-19,98.88711547851562,427.3191223144531
2022-01-20,99.0989990234375,422.5894470214844
2022-01-21,99.67288970947266,414.2938232421875
2022-01-24,99.5845947265625,416.0531311035156
2022-01-25,99.45216369628906,410.9736022949219
2022-01-26,98.74584197998047,409.9425354003906
2022-01-27,99.16082000732422,407.91827392578125
2022-01-28,99.39037322998047,418.0490417480469
2022-01-31,99.39037322998047,425.57861328125
2022-02-01,99.25604248046875,428.4542236328125
2022-02-02,99.45931243896484,432.6162414550781
2022-02-03,99.03508758544922,422.4476623535156
2022-02-04,98.2750473022461,424.43408203125
2022-02-07,98.30158233642578,423.0719299316406
2022-02-08,97.98342895507812,426.5528869628906
2022-02-09,98.115966796875,432.7959899902344
2022-02-10,97.21452331542969,425.02044677734375
2022-02-11,98.22203063964844,416.63970947265625
2022-02-14,97.54154205322266,415.2775573730469
2022-02-15,97.2499008178711,421.9746398925781
2022-02-16,97.45315551757812,422.4476623535156
2022-02-17,97.97459411621094,413.42352294921875
2022-02-18,98.2927474975586,410.74652099609375
2022-02-22,98.28388214111328,406.3385925292969
2022-02-23,97.77130126953125,399.1307373046875
2022-02-24,98.0011215209961,405.1372375488281
2022-02-25,97.97459411621094,414.0762023925781
2022-02-28,99.08812713623047,413.01678466796875
2022-03-01,100.05316162109375,406.72637939453125
2022-03-02,98.5494155883789,414.2086181640625
2022-03-03,98.97402954101562,412.146484375
2022-03-04,99.95587921142578,408.7980041503906
2022-03-07,99.53130340576172,396.7469482421875
2022-03-08,98.88554382324219,393.7389831542969
2022-03-09,98.27522277832031,404.2953796386719
2022-03-10,97.82408142089844,402.4698486328125
2022-03-11,97.79753112792969,397.3523864746094
2022-03-14,96.55915832519531,394.44842529296875
2022-03-15,96.5149154663086,403.1224670410156
2022-03-16,96.3822250366211,412.0613708496094
2022-03-17,96.19647979736328,417.2167053222656
2022-03-18,96.47952270507812,421.786376953125
2022-03-21,95.22346496582031,421.6630554199219
2022-03-22,94.7015609741211,426.5970764160156
2022-03-23,95.33843994140625,421.1031799316406
2022-03-24,94.8077163696289,427.4510192871094
2022-03-25,93.83470916748047,429.5385437011719
2022-03-28,94.0470199584961,432.5938415527344
2022-03-29,94.51581573486328,437.9453430175781
2022-03-30,94.88729858398438,435.2411804199219
2022-03-31,95.0642318725586,428.5422668457031
2022-04-01,94.44522857666016,429.7568054199219
2022-04-04,94.38324737548828,433.4383544921875
2022-04-05,93.2585678100586,427.96343994140625
2022-04-06,92.930908203125,423.68408203125
2022-04-07,92.70066833496094,425.8189392089844
2022-04-08,92.23130798339844,424.6803894042969
2022-04-11,91.78852844238281,417.421630859375
2022-04-12,92.23130798339844,415.875
2022-04-13,92.43500518798828,420.63818359375
2022-04-14,91.60257720947266,415.40057373046875
2022-04-18,91.3369140625,415.5713195800781
2022-04-19,90.73472595214844,422.2796936035156
2022-04-20,91.4431381225586,421.9666748046875
2022-04-21,90.93840026855469,415.6567077636719
2022-04-22,90.98268127441406,404.25152587890625
2022-04-25,91.56717681884766,406.59515380859375
2022-04-26,92.17818450927734,394.81982421875
2022-04-27,91.66456604003906,395.9299621582031
2022-04-28,91.53170776367188,405.9308776855469
2022-04-29,91.04466247558594,390.92950439453125
2022-05-02,90.36634826660156,393.28271484375
2022-05-03,90.47277069091797,395.08544921875
2022-05-04,91.05799102783203,407.1170349121094
2022-05-05,90.14473724365234,392.6469421386719
2022-05-06,89.63047790527344,390.30322265625
2022-05-09,90.29544067382812,377.80682373046875
2022-05-10,90.5969009399414,378.6797180175781
2022-05-11,91.15550231933594,372.66400146484375
2022-05-12,91.45696258544922,372.2749328613281
2022-05-13,90.97816467285156,381.1752624511719
2022-05-16,91.35944366455078,379.6286315917969
2022-05-17,90.66786193847656,387.4377136230469
2022-05-18,91.3150863647461,371.8194885253906
2022-05-19,91.64313507080078,369.54229736328125
2022-05-20,92.0687255859375,369.70355224609375
2022-05-23,91.51012420654297,376.6206970214844
2022-05-24,92.29925537109375,373.7456970214844
2022-05-25,92.48546600341797,377.0476379394531
2022-05-26,92.44113159179688,384.5816650390625
2022-05-27,92.57410430908203,394.0227966308594
2022-05-31,91.60767364501953,391.8119201660156
2022-06-01,91.09190368652344,388.6427307128906
2022-06-02,91.2250747680664,396.0439147949219
2022-06-03,91.04751586914062,389.54412841796875
2022-06-06,90.36395263671875,390.73028564453125
2022-06-07,90.72792053222656,394.47821044921875
2022-06-08,90.39056396484375,390.1893310546875
2022-06-09,90.31069946289062,380.9095458984375
2022-06-10,89.42292022705078,369.8648681640625
2022-06-13,87.8338623046875,355.8217468261719
2022-06-14,87.13253021240234,354.74951171875
2022-06-15,88.34876251220703,359.8070068359375
2022-06-16,88.9257583618164,347.8987121582031
2022-06-17,88.95240783691406,348.6487731933594
2022-06-21,88.4908218383789,357.4255065917969
2022-06-22,89.6093521118164,356.77752685546875
2022-06-23,90.1153793334961,360.27484130859375
2022-06-24,89.79578399658203,371.7293395996094
2022-06-27,89.2897720336914,370.3094787597656
2022-06-28,89.40519714355469,362.7430114746094
